Symbol	BLCA	BRCA	COADREAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	UCEC
CTNNB1	0.0108695652173913	0.00393184796854522	0.0466321243523316	0.00363636363636364	0.0133333333333333	0.00239808153477218	0	0.0258064516129032	0.0233918128654971	0.00952380952380952	0.28695652173913
DSC2	0.0217391304347826	0.00655307994757536	0	0.0218181818181818	0.00333333333333333	0.00959232613908873	0	0.0451612903225806	0.0175438596491228	0.00317460317460317	0.00869565217391304
IDH1	0.0217391304347826	0.00393184796854522	0	0.0509090909090909	0.00333333333333333	0.00479616306954436	0.0972972972972973	0.0129032258064516	0.0116959064327485	0	0.0130434782608696
ITGB1	0.0217391304347826	0.00655307994757536	0.00518134715025907	0.00363636363636364	0.0333333333333333	0.00959232613908873	0	0.0129032258064516	0.0350877192982456	0.00317460317460317	0.00869565217391304
EPHA3	0.0108695652173913	0.00786369593709043	0.0414507772020725	0.0145454545454545	0.05	0.00479616306954436	0	0.116129032258065	0.0935672514619883	0.0158730158730159	0.0304347826086957
FAM13A	0.0434782608695652	0.00655307994757536	0	0.00727272727272727	0.0166666666666667	0.00719424460431655	0	0.0387096774193548	0.0292397660818713	0.00317460317460317	0.0217391304347826
FAT4	0.119565217391304	0.0170380078636959	0.129533678756477	0.0145454545454545	0.103333333333333	0.0239808153477218	0.00540540540540541	0.251612903225806	0.175438596491228	0.019047619047619	0.130434782608696
MAGI2	0.0543478260869565	0.0131061598951507	0.0259067357512953	0.0145454545454545	0.03	0.0119904076738609	0.0108108108108108	0.0645161290322581	0.0701754385964912	0.0158730158730159	0.0260869565217391
KAT6A	0.0543478260869565	0.00524246395806029	0.0103626943005181	0	0.02	0.00959232613908873	0	0.0387096774193548	0.064327485380117	0.00952380952380952	0.0173913043478261
EPHA1	0.0217391304347826	0.00393184796854522	0.0259067357512953	0.0181818181818182	0.02	0.0119904076738609	0	0.032258064516129	0.0292397660818713	0.0158730158730159	0.0173913043478261
DNM2	0.0217391304347826	0.00262123197903014	0.0155440414507772	0.00363636363636364	0.0266666666666667	0.00239808153477218	0.00540540540540541	0.0129032258064516	0.0175438596491228	0.00952380952380952	0.0260869565217391
