setID	setSize	name	namespace	distance	cMatrix
M10792	266	KEGG_MAPK_SIGNALING_PATHWAY	C2	MAPK signaling pathway	1.80966830182971
M11190	24	KEGG_DORSO_VENTRAL_AXIS_FORMATION	C2	Dorso-ventral axis formation	1.7390340562064
M11355	131	KEGG_TIGHT_JUNCTION	C2	Tight junction	2.11069829749369
M11816	78	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	C2	Fc epsilon RI signaling pathway	1.21478689512887
M11911	44	KEGG_ABC_TRANSPORTERS	C2	ABC transporters	1.80966830182971
M12294	68	KEGG_VIRAL_MYOCARDITIS	C2	Viral myocarditis	1.7390340562064
M12467	87	KEGG_ERBB_SIGNALING_PATHWAY	C2	ErbB signaling pathway	1.55748687370354
M12868	324	KEGG_PATHWAYS_IN_CANCER	C2	Pathways in cancer	3
M13191	89	KEGG_PROSTATE_CANCER	C2	Prostate cancer	3
M13266	70	KEGG_RENAL_CELL_CARCINOMA	C2	Renal cell carcinoma	1.55748687370354
M13380	269	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	C2	Neuroactive ligand-receptor interaction	1.43805723188002
M13486	167	KEGG_HUNTINGTONS_DISEASE	C2	Huntington's disease	3
M14091	381	KEGG_OLFACTORY_TRANSDUCTION	C2	Olfactory transduction	1.80966830182971
M14631	62	KEGG_COLORECTAL_CANCER	C2	Colorectal cancer	3
M15798	71	KEGG_MELANOMA	C2	Melanoma	3
M16024	154	KEGG_ALZHEIMERS_DISEASE	C2	Alzheimer's disease	1.21478689512887
M16121	94	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	C2	Fc gamma R-mediated phagocytosis	1.23864254424171
M16376	74	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	C2	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1.80966830182971
M16473	42	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	C2	Aldosterone-regulated sodium reabsorption	1.58580426097803
M16476	130	KEGG_CELL_ADHESION_MOLECULES_CAMS	C2	Cell adhesion molecules (CAMs)	1.2559129900763
M16763	126	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	C2	Neurotrophin signaling pathway	1.87661509146032
M16894	68	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	C2	Complement and coagulation cascades	1.01815308988808
M1749	75	KEGG_VEGF_SIGNALING_PATHWAY	C2	VEGF signaling pathway	1.27455510013236
M17673	72	KEGG_CARDIAC_MUSCLE_CONTRACTION	C2	Cardiac muscle contraction	1.7390340562064
M17807	55	KEGG_BASAL_CELL_CARCINOMA	C2	Basal cell carcinoma	1.87661509146032
M17857	37	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	C2	SNARE interactions in vesicular transport	-3
