name	nAnno	nOverlap	zscore	pvalue	adjp	namespace	distance	members
seminoma	25	4	11.6	6.4e-08	8.4e-06	Disease_Ontology	5	Rb1,Sox2,Klf4,Bcl2
larynx cancer	77	5	7.96	9.1e-07	3e-05	Disease_Ontology	5	Rb1,Spp1,Cd44,Bcl2,Serpinb5
laryngeal carcinoma	75	5	8.08	7.8e-07	3e-05	Disease_Ontology	6	Rb1,Spp1,Cd44,Bcl2,Serpinb5
laryngeal squamous cell carcinoma	75	5	8.08	7.8e-07	3e-05	Disease_Ontology	7	Rb1,Spp1,Cd44,Bcl2,Serpinb5
stomach cancer	91	5	7.23	2.5e-06	4.6e-05	Disease_Ontology	5	Spp1,Klf4,Cd44,Bcl2,Serpinb5
gastric adenocarcinoma	86	5	7.47	1.8e-06	4.6e-05	Disease_Ontology	7	Spp1,Klf4,Cd44,Bcl2,Serpinb5
stomach carcinoma	89	5	7.32	2.2e-06	4.6e-05	Disease_Ontology	6	Spp1,Klf4,Cd44,Bcl2,Serpinb5
lichen disease	56	4	7.5	4.2e-06	6.1e-05	Disease_Ontology	4	Spp1,Cd44,Bcl2,Abcg2
lichen planus	56	4	7.5	4.2e-06	6.1e-05	Disease_Ontology	5	Spp1,Cd44,Bcl2,Abcg2
integumentary system benign neoplasm	30	3	7.82	8.4e-06	9.9e-05	Disease_Ontology	4	Sox2,Spp1,Notch2
skin benign neoplasm	30	3	7.82	8.4e-06	9.9e-05	Disease_Ontology	5	Sox2,Spp1,Notch2
lung small cell carcinoma	31	3	7.68	9.6e-06	1e-04	Disease_Ontology	7	Rb1,Cd44,Bcl2
germ cell cancer	78	4	6.2	2.2e-05	0.00022	Disease_Ontology	4	Rb1,Sox2,Klf4,Bcl2
lung cancer	461	8	4.27	0.00012	0.0011	Disease_Ontology	5	Rb1,Spp1,Cd44,Bcl2,Frk,Ibsp,Serpinb5,Abcg2
adenocarcinoma	708	10	4.05	0.00014	0.0011	Disease_Ontology	5	Rb1,Sox2,Spp1,Klf4,Cd44,Bcl2,Serpinb5,Abcg2,Gucy2c,Atoh1
lung carcinoma	460	8	4.28	0.00012	0.0011	Disease_Ontology	6	Rb1,Spp1,Cd44,Bcl2,Frk,Ibsp,Serpinb5,Abcg2
respiratory system cancer	486	8	4.09	0.00018	0.0014	Disease_Ontology	4	Rb1,Spp1,Cd44,Bcl2,Frk,Ibsp,Serpinb5,Abcg2
organ system benign neoplasm	196	5	4.46	0.00019	0.0014	Disease_Ontology	3	Sox2,Spp1,Klf4,Cd44,Notch2
non-small cell lung carcinoma	403	7	3.98	0.00029	0.002	Disease_Ontology	7	Rb1,Spp1,Bcl2,Frk,Ibsp,Serpinb5,Abcg2
benign neoplasm	525	8	3.83	0.00033	0.0022	Disease_Ontology	2	Rb1,Sox2,Spp1,Klf4,Cd44,Bcl2,Notch2,Gucy2c
melanoma	669	9	3.65	0.00043	0.0026	Disease_Ontology	4	Rb1,Sox2,Spp1,Cat,Cd44,Bcl2,Perp,Serpinb5,Tbx3
head and neck squamous cell carcinoma	163	4	3.86	0.00071	0.0042	Disease_Ontology	6	Rb1,Klf4,Cd44,Bcl2
papillary thyroid carcinoma	96	3	3.94	0.00083	0.0045	Disease_Ontology	7	Spp1,Serpinb5,Mpp1
acute myeloid leukemia	358	6	3.56	0.00083	0.0045	Disease_Ontology	8	Spp1,Cat,Cd44,Bcl2,Abcg2,Plcb1
endometriosis	261	5	3.61	9e-04	0.0047	Disease_Ontology	4	Rb1,Sox2,Spp1,Cat,Cd44
arthritis	614	8	3.32	0.0011	0.0053	Disease_Ontology	6	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Itpr2
large intestine cancer	771	9	3.17	0.0013	0.0062	Disease_Ontology	6	Sox2,Spp1,Klf4,Cd44,Bcl2,Notch2,Serpinb5,Abcg2,Gucy2c
colorectal cancer	770	9	3.17	0.0013	0.0062	Disease_Ontology	7	Sox2,Spp1,Klf4,Cd44,Bcl2,Notch2,Serpinb5,Abcg2,Gucy2c
intestinal cancer	779	9	3.13	0.0014	0.0064	Disease_Ontology	5	Sox2,Spp1,Klf4,Cd44,Bcl2,Notch2,Serpinb5,Abcg2,Gucy2c
pharynx cancer	202	4	3.3	0.0019	0.0066	Disease_Ontology	5	Rb1,Cd44,Bcl2,Serpinb5
integumentary system cancer	119	3	3.4	0.0018	0.0066	Disease_Ontology	4	Klf4,Cd44,Bcl2
squamous cell carcinoma	654	8	3.11	0.0017	0.0066	Disease_Ontology	5	Rb1,Sox2,Spp1,Klf4,Cd44,Bcl2,Serpinb5,Abcg2
malignant glioma	412	6	3.15	0.0019	0.0066	Disease_Ontology	4	Rb1,Sox2,Spp1,Bcl2,Notch2,Abcg2
bone inflammation disease	646	8	3.15	0.0015	0.0066	Disease_Ontology	5	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Itpr2
skin disease	533	7	3.1	0.0019	0.0066	Disease_Ontology	3	Spp1,Cat,Cd44,Bcl2,Perp,Serpinb5,Abcg2
skin cancer	119	3	3.4	0.0018	0.0066	Disease_Ontology	5	Klf4,Cd44,Bcl2
psoriasis	201	4	3.31	0.0018	0.0066	Disease_Ontology	4	Spp1,Cat,Bcl2,Serpinb5
liver cancer	825	9	2.94	0.0022	0.0073	Disease_Ontology	5	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Klf8,Prok2
hepatocellular carcinoma	824	9	2.95	0.0022	0.0073	Disease_Ontology	7	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Klf8,Prok2
liver carcinoma	824	9	2.95	0.0022	0.0073	Disease_Ontology	6	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Klf8,Prok2
integumentary system disease	556	7	2.98	0.0024	0.0077	Disease_Ontology	2	Spp1,Cat,Cd44,Bcl2,Perp,Serpinb5,Abcg2
endometrial carcinoma	132	3	3.16	0.0027	0.0082	Disease_Ontology	8	Spp1,Cd44,Bcl2
osteosarcoma	220	4	3.08	0.0027	0.0082	Disease_Ontology	7	Rb1,Spp1,Cd44,Bcl2
head and neck carcinoma	225	4	3.02	0.003	0.0084	Disease_Ontology	5	Rb1,Klf4,Cd44,Bcl2
female reproductive system disease	328	5	2.98	0.0029	0.0084	Disease_Ontology	3	Rb1,Sox2,Spp1,Cat,Cd44
urinary system cancer	442	6	2.95	0.0028	0.0084	Disease_Ontology	4	Spp1,Cd44,Bcl2,Notch2,Serpinb5,Klf8
