setID	nAnno	nOverlap	zscore	pvalue	adjp	name	namespace	distance	members
3	8213	14	-2.17	0.98	0.98	2759:Eukaryota	superkingdom	0	Akt1,Cat,Cd44,Cryz,Lig1,Rasl2-9,Slc1a2,Serpinb5,Zfp42,Abcg2,Pdhx,Sdha,Uqcrb,Nt5dc1
4	2436	11	2.15	0.013	0.091	33154:Opisthokonta	no rank	0.0222754108289368	Areg,Atoh1,Btc,Cckar,Ereg,Grik3,Klf4,Sox2,Tspyl1,Ubb,Spg20
5	458	2	0.803	0.11	0.29	33154:Opisthokonta	no rank	0.0267730142976657	Col10a1,Gng2
6	139	0	-0.595	0.3	0.4	33154:Opisthokonta	no rank	0.0302693558229988	
7	173	1	0.862	0.07	0.21	33154:Opisthokonta	no rank	0.0357353376016519	Tbx3
8	169	0	-0.656	0.35	0.43	33154:Opisthokonta	no rank	0.0388084948157192	
9	106	0	-0.519	0.24	0.36	33208:Metazoa	kingdom	0.0494915914854768	
10	123	2	3.06	0.0036	0.049	33208:Metazoa	kingdom	0.0668675000468671	Runx2,Itpr2
11	371	1	0.0702	0.24	0.36	33208:Metazoa	kingdom	0.092608979115169	Bcl2
12	326	0	-0.917	0.56	0.59	6072:Eumetazoa	no rank	0.104590073756599	
13	123	1	1.25	0.038	0.15	6072:Eumetazoa	no rank	0.111761181721252	Plcb1
14	273	0	-0.837	0.5	0.54	33213:Bilateria	no rank	0.120583638930064	
15	122	0	-0.557	0.27	0.38	33213:Bilateria	no rank	0.126603007470729	
16	583	1	-0.393	0.43	0.49	33511:Deuterostomia	no rank	0.138848011949931	Vim
17	91	1	1.62	0.022	0.12	33511:Deuterostomia	no rank	0.14852778342544	Trp53
18	73	0	-0.43	0.17	0.35	7711:Chordata	phylum	0.157598423802914	
19	107	0	-0.521	0.24	0.36	7742:Vertebrata	no rank	0.16953129127992	
20	575	1	-0.379	0.43	0.49	117571:Euteleostomi	no rank	0.182954454933988	Cxcl5
21	74	0	-0.433	0.17	0.35	8287:Sarcopterygii	no rank	0.185546720527099	
22	92	0	-0.483	0.21	0.36	32523:Tetrapoda	no rank	0.188559010958155	
23	170	0	-0.658	0.35	0.43	32524:Amniota	no rank	0.192410339376241	
24	21	0	-0.23	0.052	0.17	40674:Mammalia	class	0.195528772229369	
25	88	0	-0.472	0.2	0.36	32525:Theria	no rank	0.199171275194538	
26	65	0	-0.406	0.15	0.35	9347:Eutheria	no rank	0.202626866506492	
27	57	2	4.92	0.00039	0.011	1437010:Boreoeutheria	no rank	0.204092237821295	Zfp110,Zfp369
29	16	0	-0.201	0.04	0.15	314147:Glires	no rank	0.205218815531287	
75	64	1	2.1	0.011	0.091	10090:Mus musculus	species	0.236905985132363	Lrp2
