setID	nSet	nOverlap	zscore	pvalue	adjp	name	namespace	distance
3	8213	14	-2.17	0.98	0.98	2759:Eukaryota	superkingdom	0
8	3375	14	2.15	0.013	0.078	33154:Opisthokonta	no rank	0.03880849
11	600	3	1.24	0.063	0.19	33208:Metazoa	kingdom	0.09260898
13	449	1	-0.124	0.31	0.4	6072:Eumetazoa	no rank	0.1117612
15	395	0	-1.01	0.64	0.67	33213:Bilateria	no rank	0.126603
17	674	2	0.24	0.24	0.33	33511:Deuterostomia	no rank	0.1485278
18	73	0	-0.43	0.17	0.33	7711:Chordata	phylum	0.1575984
19	107	0	-0.521	0.24	0.33	7742:Vertebrata	no rank	0.1695313
20	575	1	-0.379	0.43	0.48	117571:Euteleostomi	no rank	0.1829545
21	74	0	-0.433	0.17	0.33	8287:Sarcopterygii	no rank	0.1855467
22	92	0	-0.483	0.21	0.33	32523:Tetrapoda	no rank	0.188559
23	170	0	-0.658	0.35	0.42	32524:Amniota	no rank	0.1924103
24	21	0	-0.23	0.052	0.19	40674:Mammalia	class	0.1955288
25	88	0	-0.472	0.2	0.33	32525:Theria	no rank	0.1991713
26	65	0	-0.406	0.15	0.33	9347:Eutheria	no rank	0.2026269
27	57	2	4.92	0.00039	0.007	1437010:Boreoeutheria	no rank	0.2040922
68	17	0	-0.207	0.042	0.19	314147:Glires	no rank	0.2070103
75	64	1	2.1	0.011	0.078	10090:Mus musculus	species	0.236906
